Model,"('early', 'CE')","('early', 'ARC-C')","('early', 'ARC-E')","('early', 'HellaSwag')","('early', 'Lambada')","('early', 'PIQA')","('early', 'Qasper')","('early', 'SocialIQA')","('early', 'Winogrande')","('early', 'CS Acc')","('early', 'ARC-C BPB')","('early', 'ARC-E BPB')","('early', 'HellaSwag BPB')","('early', 'Lambada BPB')","('early', 'PIQA BPB')","('early', 'Qasper BPB')","('early', 'CS BPB')","('early', 'Algebra')","('early', 'CountProb')","('early', 'Geometry')","('early', 'IntAlg')","('early', 'NumTheory')","('early', 'PreAlg')","('early', 'PreCalc')","('early', 'Math BPB')","('mid', 'CE')","('mid', 'ARC-C')","('mid', 'ARC-E')","('mid', 'HellaSwag')","('mid', 'Lambada')","('mid', 'PIQA')","('mid', 'Qasper')","('mid', 'SocialIQA')","('mid', 'Winogrande')","('mid', 'CS Acc')","('mid', 'ARC-C BPB')","('mid', 'ARC-E BPB')","('mid', 'HellaSwag BPB')","('mid', 'Lambada BPB')","('mid', 'PIQA BPB')","('mid', 'Qasper BPB')","('mid', 'CS BPB')","('mid', 'Algebra')","('mid', 'CountProb')","('mid', 'Geometry')","('mid', 'IntAlg')","('mid', 'NumTheory')","('mid', 'PreAlg')","('mid', 'PreCalc')","('mid', 'Math BPB')","('end', 'CE')","('end', 'ARC-C')","('end', 'ARC-E')","('end', 'HellaSwag')","('end', 'Lambada')","('end', 'PIQA')","('end', 'Qasper')","('end', 'SocialIQA')","('end', 'Winogrande')","('end', 'CS Acc')","('end', 'ARC-C BPB')","('end', 'ARC-E BPB')","('end', 'HellaSwag BPB')","('end', 'Lambada BPB')","('end', 'PIQA BPB')","('end', 'Qasper BPB')","('end', 'CS BPB')","('end', 'Algebra')","('end', 'CountProb')","('end', 'Geometry')","('end', 'IntAlg')","('end', 'NumTheory')","('end', 'PreAlg')","('end', 'PreCalc')","('end', 'Math BPB')"
baseline_buckets_mvd,3.0776654481887817,0.28071672354948807,0.48947811447811446,0.3015335590519817,0.17911895982922568,0.5957562568008705,0.658307210031348,0.4053224155578301,0.5074980268350434,0.42721640826673773,1.2619566324686577,1.0412524879874625,1.0471562431849208,1.354126308161628,1.3649343361770705,0.35275792094561736,1.0703639881542262,2.4359508441125914,2.050798122529219,2.126204054158451,2.623122295358946,2.0746434504693645,2.0863118649036965,2.8556297866971443,2.3218086311756307,2.876378655433655,0.34044368600682595,0.5597643097643098,0.3333001394144593,0.24335338637686785,0.6147986942328618,0.5391849529780565,0.4078812691914023,0.4909234411996843,0.4412062348955585,1.1380413568899683,0.9009262694819942,0.9786644711090887,1.1007803268569387,1.2718485148810683,0.3189617263734842,0.9515371109320903,2.2786844803049933,1.9458506271635962,1.9629273081172578,2.4278264468350574,1.9552215746824055,1.9618785509944576,2.6600301315531767,2.1703455885215632,2.746323585510254,0.33361774744027306,0.5963804713804713,0.35749850627365065,0.25596739763244714,0.6316648531011969,0.5987460815047022,0.4078812691914023,0.5035516969218626,0.46066350293075076,1.0551849251188425,0.7879629897741773,0.9382305885927711,1.029034311671167,1.213996928420766,0.30491086039900733,0.8882201006627887,2.240192933566258,1.9144816958981685,1.9273940364090418,2.4838949239977794,1.896366995754611,1.9024164929857166,2.853754251607654,2.174071618602747
baseline_isoflop_to_L1024G512memory_and_3loops,2.914981722831726,0.302901023890785,0.5437710437710438,0.3313085042820155,0.1894042305453134,0.6153427638737758,0.6739811912225705,0.41914022517911975,0.5074980268350434,0.4479183761999584,1.1065660300663862,0.8564633073857632,0.9895332744260351,1.3005583178805344,1.2959760426999736,0.5150851804795237,1.0106970254897027,2.2557309603465976,1.8928428665587465,1.9704718646269848,2.431387901467382,1.9252023532395044,1.9178478033300264,2.69948392848032,2.1561382397213658,2.688878655433655,0.3626279863481229,0.6334175084175084,0.393945429197371,0.2786726178924898,0.6496191512513602,0.46394984326018807,0.42528147389969295,0.5177584846093133,0.4656590618595058,0.9942173624357163,0.7315335458549062,0.9192282484360993,0.9701588881634121,1.1910324636245238,0.333939174653857,0.8566849471947524,1.9908153192839873,1.7141182333287628,1.7387623567867931,2.101226894011783,1.719255715881667,1.7006808427673439,2.2928676258979017,1.8939609982797485,2.521139621734619,0.38993174061433444,0.6767676767676768,0.448814977096196,0.30855812148263145,0.6751904243743199,0.6520376175548589,0.4646878198567042,0.5288082083662194,0.5180995732641176,0.8988804844882786,0.6469761174402547,0.8615720483704162,0.8648597913870929,1.1076834429476183,0.2997732187358106,0.7799575172282452,1.834323057108466,1.5914802328589064,1.6139223530882452,1.9760840236240507,1.6066972585776893,1.5661973599285608,2.2158846760659063,1.7720841373216891
baseline_isoparam_to_L1024G512memory,3.033088207244873,0.3046075085324232,0.5016835016835017,0.3029277036446923,0.16786338055501648,0.5995647442872688,0.6614420062695925,0.4216990788126919,0.5114443567482242,0.43390403506667635,1.1879669927832328,0.9711409801760693,1.0347441240273303,1.3783771772203903,1.3399437756542747,0.42790883527082574,1.0566803141886874,2.3826308499988134,2.014406352450531,2.081614718608549,2.557957077223535,2.055365185379104,2.049380131160597,2.756296104058389,2.2710929169827887,2.826286792755127,0.310580204778157,0.5702861952861953,0.3428599880501892,0.25053366970696683,0.6245919477693145,0.329153605015674,0.4186284544524053,0.5288082083662194,0.42193028417814016,1.0872514227380812,0.8283049668373632,0.9621963834406727,1.0684210563434087,1.2611407102266863,0.4505199624549147,0.9429724170068545,2.139945005087688,1.8455176694745774,1.8707212665878024,2.2660949052319443,1.858262078367929,1.843573134838504,2.4310223992983104,2.036448065555251,2.6870404481887817,0.3464163822525597,0.6216329966329966,0.37293367855008963,0.258490199883563,0.6463547334058759,0.45454545454545453,0.4278403275332651,0.510655090765588,0.45485860794617405,0.997351652637366,0.7327919851935066,0.9198687531465162,0.9861984065054511,1.1828731356915965,0.31342016473960427,0.8554173496523401,2.2126731779909163,1.9057123964276186,1.8764412301818685,2.41836284106331,1.872930435309071,1.882767443388149,2.6649601458321377,2.119121095741867
loop1_L512G1024,3.019301414489746,0.27559726962457337,0.5029461279461279,0.3088030272854013,0.19289734135455075,0.6066376496191512,0.5078369905956113,0.4002047082906858,0.505130228887135,0.4125066679504045,1.195434164728568,0.9497555174244522,1.030327339143254,1.308103714358637,1.3267761272127467,0.3618555882260321,1.0287087418489482,2.0561549699897212,1.756583006030245,1.87783719391774,2.217376649768226,1.8279502733399593,1.7700440804755206,2.289193336446453,1.970734215709695,2.8354779481887817,0.3165529010238908,0.5686026936026936,0.3399721171081458,0.2503396079953425,0.6218715995647442,0.438871473354232,0.41760491299897645,0.5122336227308603,0.4332561160473607,1.0812440937570846,0.8405012402296406,0.966646463230026,1.065951611948072,1.2484757589090365,0.336825671566288,0.9232741399400247,1.921680212652836,1.6619428181170175,1.737585001670288,2.04370651131208,1.7094587885030796,1.6537775133130868,2.1493846252753515,1.8396479244062485,2.701286792755127,0.3447098976109215,0.6153198653198653,0.368352917745469,0.2619833106928003,0.6447225244831338,0.6394984326018809,0.4278403275332651,0.505130228887135,0.47594468810930884,1.0032925846795582,0.7391687517946001,0.9257011806623319,0.9840637430529025,1.2068378288515158,0.3183809007366234,0.8629074982962552,1.949716605143057,1.6855725838763205,1.7294518254114226,2.1216344964629545,1.7084308518184126,1.6664995991418257,2.316098155118783,1.8824863024246825
loop1_L512G4096,3.0151654481887817,0.2815699658703072,0.5016835016835017,0.3111929894443338,0.18901610712206482,0.6082698585418934,0.5705329153605015,0.4186284544524053,0.5122336227308603,0.4241409269007335,1.2030784571287958,0.9769519320988649,1.0322099306109398,1.3804464724419152,1.3123621285953415,0.3386128578959618,1.04061029646197,2.0473295756057692,1.7216149869709267,1.8599048991444986,2.2043532761793068,1.8108539683708116,1.7550031888328748,2.2497461660059446,1.9498294373014475,2.829503655433655,0.31569965870307165,0.571969696969697,0.34863572993427605,0.2685814088880264,0.6240478781284005,0.3448275862068966,0.413510747185261,0.5098658247829518,0.42464231634982263,1.0816198555981562,0.8341526281391631,0.9665749418194259,1.0273688218416108,1.2396469246152522,0.3636204889029599,0.9188306101527614,1.8811714854968573,1.6108932520168913,1.7090546858151767,1.9961039351020844,1.6860290029778318,1.6186008842508897,2.1077463732007797,1.8013713741229302,2.6897977590560913,0.3455631399317406,0.6161616161616161,0.37950607448715395,0.2732388899670095,0.6365614798694232,0.6332288401253918,0.43193449334698053,0.4972375690607735,0.47667901286876113,0.98636811093566,0.7343011467774379,0.9212050563937519,0.9652730358961646,1.1805498794217673,0.2933024332387749,0.8468332771105929,1.8125418507659525,1.5759416185677446,1.6519927089444013,1.9522786318394036,1.6134983257356226,1.5575951637631902,2.101124736714059,1.7521390051900536
loop1_L1024G512,3.0243566036224365,0.28071672354948807,0.4898989898989899,0.3075084644493129,0.2000776246846497,0.6071817192600653,0.6238244514106583,0.4017400204708291,0.5351223362273086,0.43075879124391275,1.2511672723031653,1.0430755752004617,1.0282155204112557,1.3239285616100653,1.3208868195356458,0.33275657238020684,1.0500050535734669,2.0387418154933337,1.7430945850389619,1.8666205272168974,2.1853061420779785,1.8131627680679323,1.7526722533417871,2.23128304135592,1.9472687332275445,2.833180069923401,0.3054607508532423,0.5580808080808081,0.3407687711611233,0.2522802251115855,0.6414581066376496,0.4827586206896552,0.4083930399181167,0.494869771112865,0.4355087616956307,1.0842225205705427,0.8481464715386368,0.97268528299277,1.0587092162540772,1.2470547137250134,0.3593788973742242,0.928366183742544,1.8641684554283584,1.6143278586588001,1.6996619496966352,1.987258097156189,1.673745151502611,1.6036035993323994,2.0717852849821403,1.7877929138224478,2.6948529481887817,0.3174061433447099,0.6069023569023569,0.3716391157140012,0.27595575392974964,0.6479869423286181,0.5203761755485894,0.4242579324462641,0.505130228887135,0.45870683113767796,1.02372284691548,0.7639757833143607,0.920481193289928,0.971820108949844,1.1909260691793608,0.34347574301271677,0.8690669574436151,1.8268683405907957,1.5770094964640826,1.6578032967582332,1.9812507613975372,1.6472205249670842,1.5708881485537785,2.1142666817749776,1.7679010357866416
loop1_L4096G512,3.005514621734619,0.2858361774744027,0.5214646464646465,0.3123879705238,0.19813700756840674,0.6088139281828074,0.677115987460815,0.40583418628454454,0.5169692186266772,0.4408198903232626,1.1974798895140932,0.9918361030746531,1.0258529994068397,1.3023240793411421,1.3164889982250163,0.37012998047035545,1.03401867500535,2.08091192237888,1.7905162502134233,1.884409247431011,2.2139828027849973,1.833025510563477,1.800443086145199,2.3044841057398315,1.9868247036081168,2.805606722831726,0.3225255972696246,0.5635521885521886,0.35241983668591914,0.2738210751018824,0.6142546245919478,0.5862068965517241,0.41146366427840325,0.5193370165745856,0.45544761245078447,1.0689689761472079,0.8434348706870918,0.9574070005879105,1.0104785807763268,1.2312320878031673,0.3578985632101839,0.9115700132019812,1.9002640468595329,1.6409548655908974,1.7327108677090675,1.9964467347715071,1.7054940414179667,1.64235956521233,2.1382603533978783,1.8223557821370258,2.6640625,0.3412969283276451,0.6317340067340067,0.3858793069109739,0.2728507665437609,0.6452665941240479,0.677115987460815,0.42528147389969295,0.5201262825572218,0.4874439183197705,0.9687821339773364,0.7219499620517147,0.9138086699176069,0.9629465095066684,1.1699136160115415,0.29760214532270274,0.8391671727979285,1.8534971982692217,1.6149222882396197,1.6735768783652756,1.9857393865518265,1.6333287851630254,1.5940205359401654,2.17325071049315,1.7897622547174692
loop3_buckets_mvd,3.0151654481887817,0.29692832764505117,0.502104377104377,0.3110934076877116,0.17640209586648553,0.6006528835690969,0.5517241379310345,0.40736949846468784,0.5043409629044988,0.4188269613966179,1.182986727224503,0.9532684162292367,1.0276016534069508,1.4109438474417868,1.3131412307437629,0.3164798879928774,1.034070293839853,2.2111526436449536,1.8584507443679277,1.9737342384711183,2.4256450975897,1.9340665148357714,1.8829368745704285,2.499402244282168,2.1121983368231527,2.826746344566345,0.3216723549488055,0.5580808080808081,0.3429595698068114,0.25053366970696683,0.6284004352557128,0.34169278996865204,0.41299897645854655,0.5074980268350434,0.4204795788826683,1.0685492866468673,0.8170788407131289,0.9630495321042284,1.0814185677790022,1.2423624228915502,0.40397962243639024,0.9294063787618612,1.8612854772127259,1.614730855806359,1.6986213949469584,1.964713013630023,1.6603013077635718,1.5941147529844437,2.042718138167599,1.776640705787383,2.6948529481887817,0.3438566552901024,0.6069023569023569,0.37890858394742083,0.263729866097419,0.6485310119695321,0.6394984326018809,0.4344933469805527,0.5130228887134964,0.47861789281284517,0.9821823006353424,0.7380113202810031,0.9160441927941935,1.0036387607462818,1.1865201233833813,0.3355530759616961,0.8603249623003165,1.7892543014085611,1.5370559186053667,1.614680389279763,1.9136835670909143,1.58909520940272,1.5114285147468307,2.0132268870277326,1.7097749696516984
loop3_iso_mvd,2.9503676891326904,0.28924914675767915,0.5340909090909091,0.32812188807010556,0.1847467494663303,0.6175190424374319,0.670846394984326,0.406345957011259,0.5248618784530387,0.44447274578388496,1.1451870533547746,0.9024122322638021,1.0039972326400826,1.2932287579715858,1.2942190088011962,0.39755940949251456,1.0061006157539927,2.2575265945220164,1.90267359272583,1.9802190527167929,2.4300251928624728,1.941507903748946,1.9368765925733806,2.6296403255733423,2.1540670363889687,2.729319930076599,0.3626279863481229,0.61489898989899,0.37661820354511055,0.2850766543760916,0.6528835690968444,0.5454545454545454,0.41914022517911975,0.4925019731649566,0.46865026838297263,1.0080179587063927,0.7594168316327737,0.9339759199089427,0.971774839404202,1.2035341369037806,0.33298132379437007,0.868283501725077,2.1341238270053102,1.7958478690346176,1.8309482129664125,2.307352134373784,1.818881629411223,1.8107921278038748,2.5627966311022625,2.0372489188139267,2.574908137321472,0.36860068259385664,0.6595117845117845,0.4230233021310496,0.30293033184552687,0.6637649619151251,0.6833855799373041,0.4508700102354145,0.5130228887134964,0.5081386927354448,0.9282690439080075,0.6615070699864722,0.8795169661678652,0.8860319893956049,1.1452372662429446,0.31691756787319636,0.8029133172623485,1.8750691251542926,1.6203826686545193,1.6744264084917149,2.026773124884612,1.6600759792618933,1.6051716824855673,2.2306701798980195,1.8132241669758027
loop3_L1024G512_cyclical,3.010110378265381,,,,,,,,,,,,,,,,,,,,,,,,,2.8814337253570557,,,,,,,,,,,,,,,,,,,,,,,,,2.8814337253570557,,,,,,,,,,,,,,,,,,,,,,,,
