source,threshold,e_steps_theoretical,max_active_steps,mean_loss
gsm8k,0.1,1.9415727061838226,4.0,2.1481923305764985
gsm8k,0.2,1.9361149207892552,3.9996196754563895,2.1494723945386185
gsm8k,0.3,1.9107902845154308,3.985294117647059,2.157457348424986
gsm8k,0.4,1.8476528504812053,3.850532454361055,2.1908574433188805
gsm8k,0.5,1.7456120265918404,3.6342545638945234,2.297656934586435
gsm8k,0.6,1.6003053915750287,3.052865111561866,2.4624443818048896
gsm8k,0.7,1.5208658262400958,2.3989604462474645,2.6280939198545834
gsm8k,0.8,1.5161742812693983,2.0424695740365113,2.6644900073524798
gsm8k,0.9,1.5160967041337394,2.000633874239351,2.6653554458379536
gsm8k,0.99,1.5160960151159313,2.0,2.6653554458379536
triviaqa,0.1,1.9415727061838226,4.0,4.129373820562782
triviaqa,0.2,1.9361149207892552,3.9996196754563895,4.152184720789112
triviaqa,0.3,1.9107902845154308,3.985294117647059,4.1784252766543215
triviaqa,0.4,1.8476528504812053,3.850532454361055,4.23585799595095
triviaqa,0.5,1.7456120265918404,3.6342545638945234,4.340713798474965
triviaqa,0.6,1.6003053915750287,3.052865111561866,4.570911643550081
triviaqa,0.7,1.5208658262400958,2.3989604462474645,4.584603227339451
triviaqa,0.8,1.5161742812693983,2.0424695740365113,4.693836420407085
triviaqa,0.9,1.5160967041337394,2.000633874239351,4.693861256725383
triviaqa,0.99,1.5160960151159313,2.0,4.693861256725383
wikitext_103,0.1,1.9415727061838226,4.0,3.026072889749762
wikitext_103,0.2,1.9361149207892552,3.9996196754563895,3.028542923663645
wikitext_103,0.3,1.9107902845154308,3.985294117647059,3.0427708301335117
wikitext_103,0.4,1.8476528504812053,3.850532454361055,3.090316834324405
wikitext_103,0.5,1.7456120265918404,3.6342545638945234,3.3564007674695233
wikitext_103,0.6,1.6003053915750287,3.052865111561866,3.609056378915707
wikitext_103,0.7,1.5208658262400958,2.3989604462474645,3.810741108629897
wikitext_103,0.8,1.5161742812693983,2.0424695740365113,3.8426447084414512
wikitext_103,0.9,1.5160967041337394,2.000633874239351,3.8420462856529953
wikitext_103,0.99,1.5160960151159313,2.0,3.842036202851413
